# text = increase and decrease in volume or pitch, as if in waves; 
# id = 00581355-v-1
# type = def
1	increase	wf	VB	increase%1|increase%2	increase%2:30:02::	man	0:8
# id = 11337331-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	presocratic	wf	JJ	presocratic%3	presocratic%3:01:00::	auto	2:13
3	Greek	wf	JJ	Greek%1|Greek%3	_	un	14:19
4	philosopher	wf	NN	philosopher%1	philosopher%1:18:00::	man	20:31
5	and	wf	CC	and	_	ignore	32:35
6	astronomer	wf	NN	astronomer%1	astronomer%1:18:00::	auto	36:46
7	(	wf	punc	_	_	ignore	47:48
8	who	wf	WP	who	_	ignore	48:51
9	predicted	wf	VB	predict%2	predict%2:32:00::	man	52:61
10	an	wf	DT	an	_	ignore	62:64
11	eclipse	wf	NN	eclipse%1|eclipse%2	_	un	65:72
12	in	wf	IN	in	_	ignore	73:75
13	_	mwf	_	_	_	_	_
14	585	wf	CD	585	_	ignore	76:79
15	BC	wf	RB	BC	bc%4:02:00::	auto	80:82
16	_	mwf	_	_	_	_	_
17	)	wf	punc	_	_	ignore	82:83
18	who	wf	WP	who	_	ignore	84:87
19	was	wf	VBD	be%2	_	un	88:91
20	said	wf	VBN	say%2|said%3	say%2:32:01::	man	92:96
21	by	wf	IN	by	_	ignore	97:99
22	Aristotle	wf	NNP	Aristotle%1	aristotle%1:18:00::	auto	100:109
23	to	wf	TO	to	_	ignore	110:112
24	be	wf	VB	be%2	_	un	113:115
25	the	wf	DT	the	_	ignore	116:119
26	founder	wf	NN	founder%1|founder%2	founder%1:18:00::	man	120:127
27	of	wf	IN	of	_	ignore	128:130
28	_	glob|a	_	physical_science%1	_	un	_
29	physical	cf|a	JJ	physical%3	_	un	131:139
30	science	cf|a	NN	science%1	_	un	140:147
31	;	wf	punc	_	_	ignore	147:148
32	he	wf	PRP	he	_	ignore	149:151
33	held	wf	VBN	hold%2|held%3	hold%2:31:08::	man	152:156
34	that	wf	IN	that	_	ignore	157:161
35	all	wf	JJ	all%3|all%4	_	un	162:165
36	things	wf	NNS	thing%1|things%1	thing%1:06:01::	man	166:172
37	originated	wf	VBN	originate%2	originate%2:42:00::	man	173:183
38	in	wf	IN	in	_	ignore	184:186
39	water	wf	NN	water%1|water%2	water%1:27:00::	man	187:192
40	_	aux	_	_	_	ignore	_
41	(	wf	punc	_	_	ignore	193:194
42	_	mwf	_	_	_	_	_
43	624	wf	CD	624	_	ignore	194:197
44	546	wf	CD	546	_	ignore	198:201
45	BC	wf	RB	BC%4	_	un	202:204
46	_	mwf	_	_	_	_	_
47	)	wf	punc	_	_	ignore	204:205
48	_	aux	_	_	_	_	_

# text = English physicist (born in America) who studied heat and friction; experiments convinced him that heat is caused by moving particles (1753-1814)
# id = 11339669-n-1
# type = def
1	English	wf	JJ	English%1|English%3	english%3:01:00::	man	0:7
2	physicist	wf	NN	physicist%1	physicist%1:18:00::	auto	8:17
3	(	wf	punc	_	_	ignore	18:19
4	born	wf	VBN	bear%2|born%3	bear%2:29:01::	man	19:23
5	in	wf	IN	in	_	ignore	24:26
6	America	wf	NNP	America%1	america%1:15:00::	man	27:34
7	)	wf	punc	_	_	ignore	34:35
8	who	wf	WP	who	_	ignore	36:39
9	studied	wf	VBN	study%2|studied%3	study%2:31:02::	man	40:47
10	heat	wf	NN	heat%1|heat%2	heat%1:07:01::	man	48:52
11	and	wf	CC	and	_	ignore	53:56
12	friction	wf	NN	friction%1	friction%1:04:00::	man	57:65
13	;	wf	punc	_	_	ignore	65:66
14	experiments	wf	NNS	experiment%1|experiment%2	experiment%1:09:00::	man	67:78
15	convinced	wf	JJ	convince%2|convinced%3	convince%2:32:00::	man	79:88
16	him	wf	PRP	him	_	ignore	89:92
17	that	wf	WDT	that	_	ignore	93:97
18	heat	wf	NN	heat%1|heat%2	heat%1:19:00::	man	98:102
19	is	wf	VBZ	i%1|be%2	_	un	103:105
20	caused	wf	VBN	cause%2	_	un	106:112
21	by	wf	IN	by	_	ignore	113:115
22	moving	wf	VBG	move%2|moving%3	moving%3:00:02::	man	116:122
23	particles	wf	NNS	particle%1	particle%1:17:00::	man	123:132
24	_	aux	_	_	_	ignore	_
25	(	wf	punc	_	_	ignore	133:134
26	_	mwf	_	_	_	_	_
27	1753	wf	CD	1753	_	ignore	134:138
28	1814	wf	CD	1814	_	ignore	139:143
29	_	mwf	_	_	_	_	_
30	)	wf	punc	_	_	ignore	143:144
31	_	aux	_	_	_	_	_

# text = outstanding United States athlete (1888-1953)
# id = 11341479-n-1
# type = def
1	outstanding	wf	JJ	outstanding%3	outstanding%5:00:00:superior:02|outstanding%5:00:00:important:00	man	0:11
2	_	glob|a	_	United_States%1	_	un	_
3	United	cf|a	NNP	United	_	un	12:18
4	States	cf|a	NNP	State%1	_	un	19:25
5	athlete	wf	NN	athlete%1	athlete%1:18:00::	auto	26:33
6	_	aux	_	_	_	ignore	_
7	(	wf	punc	_	_	ignore	34:35
8	_	mwf	_	_	_	_	_
9	1888	wf	CD	1888	_	ignore	35:39
10	1953	wf	CD	1953	_	ignore	40:44
11	_	mwf	_	_	_	_	_
12	)	wf	punc	_	_	ignore	44:45
13	_	aux	_	_	_	_	_

# text = the Apostle who would not believe the resurrection of Jesus until he saw Jesus with his own eyes
# id = 11338796-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	Apostle	wf	NNP	Apostle%1	apostle%1:18:00::	man	4:11
3	who	wf	WP	who	_	ignore	12:15
4	would	wf	MD	would	_	ignore	16:21
5	not	wf	RB	not%4	not%4:02:00::	auto	22:25
6	believe	wf	VB	believe%2	_	un	26:33
7	the	wf	DT	the	_	ignore	34:37
8	resurrection	wf	NN	resurrection%1	resurrection%1:04:00::	auto	38:50
9	of	wf	IN	of	_	ignore	51:53
10	Jesus	wf	NNP	Jesus%1	jesus%1:18:00::	auto	54:59
11	until	wf	IN	until	_	ignore	60:65
12	he	wf	PRP	he	_	ignore	66:68
13	saw	wf	VBD	saw%1|saw%2|see%2	_	un	69:72
14	Jesus	wf	NNP	Jesus%1	jesus%1:18:00::	auto	73:78
15	with	wf	IN	with	_	ignore	79:83
16	his	wf	PRP$	his	_	ignore	84:87
17	own	wf	JJ	own%2|own%3	_	un	88:91
18	eyes	wf	NNS	eye%1|eyes%1|eye%2	eye%1:08:00::	man	92:96

# text = the last emperor of a united Roman Empire, he took control of the eastern empire and ended the war with the Visigoths; he became a Christian and in 391 banned all forms of pagan worship (346-395)
# id = 11338172-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	last	wf	JJ	last%1|last%2|last%3|last%4	last%3:00:00::	man	4:8
3	emperor	wf	NN	emperor%1	emperor%1:18:00::	man	9:16
4	of	wf	IN	of	_	ignore	17:19
5	a	wf	DT	a	_	ignore	20:21
6	united	wf	JJ	unite%2|united%3	_	un	22:28
7	_	glob|a	_	Roman_Empire%1	roman_empire%1:15:00::	auto	_
8	Roman	cf|a	NNP	Roman%1|Roman%3	_	un	29:34
9	Empire	cf|a	NNP	Empire%1	_	un	35:41
10	,	wf	punc	_	_	ignore	41:42
11	he	wf	PRP	he	_	ignore	43:45
12	_	glob|b	_	take_control%2	take_control%2:41:00::	man	_
13	took	cf|b	VBD	take%2	_	un	46:50
14	control	cf|b	NN	control%1|control%2	_	un	51:58
15	of	wf	IN	of	_	ignore	59:61
16	the	wf	DT	the	_	ignore	62:65
17	eastern	wf	JJ	eastern%3	_	un	66:73
18	empire	wf	NN	empire%1	empire%1:15:00::	man	74:80
19	and	wf	CC	and	_	ignore	81:84
20	ended	wf	VBD	end%2|ended%3	end%2:30:01::	man	85:90
21	the	wf	DT	the	_	ignore	91:94
22	war	wf	NN	war%1|war%2	war%1:04:00::	man	95:98
23	with	wf	IN	with	_	ignore	99:103
24	the	wf	DT	the	_	ignore	104:107
25	Visigoths	wf	NNP	Visigoth%1	visigoth%1:18:00::	auto	108:117
26	;	wf	punc	_	_	ignore	117:118
27	he	wf	PRP	he	_	ignore	119:121
28	became	wf	VBD	become%2	_	un	122:128
29	a	wf	DT	a	_	ignore	129:130
30	Christian	wf	NNP	Christian%1|Christian%3	_	un	131:140
31	and	wf	CC	and	_	ignore	141:144
32	in	wf	IN	in	_	ignore	145:147
33	391	wf	CD	391	_	ignore	148:151
34	banned	wf	JJ	ban%2|banned%3	banned%5:00:00:illegal:00	man	152:158
35	all	wf	JJ	all%3|all%4	_	un	159:162
36	forms	wf	NNS	form%1|form%2	form%1:09:01::	man	163:168
37	of	wf	IN	of	_	ignore	169:171
38	pagan	wf	JJ	pagan%1|pagan%3	pagan%5:00:00:irreligious:00	man	172:177
39	worship	wf	NN	worship%1|worship%2	worship%1:04:00::	man	178:185
40	_	aux	_	_	_	ignore	_
41	(	wf	punc	_	_	ignore	186:187
42	_	mwf	_	_	_	_	_
43	346	wf	CD	346	_	ignore	187:190
44	395	wf	CD	395	_	ignore	191:194
45	_	mwf	_	_	_	_	_
46	)	wf	punc	_	_	ignore	194:195
47	_	aux	_	_	_	_	_

# text = Italian painter (1696-1770)
# id = 11342191-n-1
# type = def
1	Italian	wf	JJ	Italian%1|Italian%3	_	un	0:7
2	painter	wf	NN	painter%1	painter%1:18:00::	man	8:15
3	_	aux	_	_	_	ignore	_
4	(	wf	punc	_	_	ignore	16:17
5	_	mwf	_	_	_	_	_
6	1696	wf	CD	1696	_	ignore	17:21
7	1770	wf	CD	1770	_	ignore	22:26
8	_	mwf	_	_	_	_	_
9	)	wf	punc	_	_	ignore	26:27
10	_	aux	_	_	_	_	_

# text = United States electrical engineer (born in England) who in 1892 formed a company with Thomas Edison (1853-1937)
# id = 11340642-n-1
# type = def
1	_	glob|b	_	United_States%1	_	un	_
2	United	cf|b	NNP	United	_	un	0:6
3	States	cf|b	NNP	State%1	_	un	7:13
4	_	glob|a	_	electrical_engineer%1	electrical_engineer%1:18:00::	auto	_
5	electrical	cf|a	JJ	electrical%3	_	un	14:24
6	engineer	cf|a	NN	engineer%1|engineer%2	_	un	25:33
7	(	wf	punc	_	_	ignore	34:35
8	born	wf	VBN	bear%2|born%3	bear%2:29:01::	man	35:39
9	in	wf	IN	in	_	ignore	40:42
10	England	wf	NNP	England%1	england%1:15:00::	auto	43:50
11	)	wf	punc	_	_	ignore	50:51
12	who	wf	WP	who	_	ignore	52:55
13	in	wf	IN	in	_	ignore	56:58
14	1892	wf	CD	1892	_	ignore	59:63
15	formed	wf	VBN	form%2|formed%3	form%2:41:00::	man	64:70
16	a	wf	DT	a	_	ignore	71:72
17	company	wf	NN	company%1|company%2	company%1:14:01::	man	73:80
18	with	wf	IN	with	_	ignore	81:85
19	_	glob|c	_	Thomas_Edison%1	thomas_edison%1:18:00::	auto	_
20	Thomas	cf|c	NNP	Thomas%1	_	un	86:92
21	Edison	cf|c	NNP	Edison%1	_	un	93:99
22	_	aux	_	_	_	ignore	_
23	(	wf	punc	_	_	ignore	100:101
24	_	mwf	_	_	_	_	_
25	1853	wf	CD	1853	_	ignore	101:105
26	1937	wf	CD	1937	_	ignore	106:110
27	_	mwf	_	_	_	_	_
28	)	wf	punc	_	_	ignore	110:111
29	_	aux	_	_	_	_	_

# text = English physicist (son of Joseph John Thomson) who was a co-discoverer of the diffraction of electrons by crystals (1892-1975)
# id = 11340411-n-1
# type = def
1	English	wf	JJ	English%1|English%3	english%3:01:00::	man	0:7
2	physicist	wf	NN	physicist%1	physicist%1:18:00::	auto	8:17
3	(	wf	punc	_	_	ignore	18:19
4	son	wf	NN	son%1	son%1:18:00::	auto	19:22
5	of	wf	IN	of	_	ignore	23:25
6	_	glob|a	_	Joseph_John_Thomson%1	joseph_john_thomson%1:18:00::	auto	_
7	Joseph	cf|a	NNP	Joseph%1	_	un	26:32
8	John	cf|a	NNP	John%1	_	un	33:37
9	Thomson	cf|a	NNP	Thomson%1	_	un	38:45
10	)	wf	punc	_	_	ignore	45:46
11	who	wf	WP	who	_	ignore	47:50
12	was	wf	VBD	be%2	_	un	51:54
13	a	wf	DT	a	_	ignore	55:56
14	co-discoverer	wf	NN	co-discoverer%1	co-discoverer%1:18:00::	auto	57:70
15	of	wf	IN	of	_	ignore	71:73
16	the	wf	DT	the	_	ignore	74:77
17	diffraction	wf	NN	diffraction%1	diffraction%1:19:00::	auto	78:89
18	of	wf	IN	of	_	ignore	90:92
19	electrons	wf	NNS	electron%1	electron%1:17:00::	auto	93:102
20	by	wf	IN	by	_	ignore	103:105
21	crystals	wf	NNS	crystal%1	crystal%1:27:00::	man	106:114
22	_	aux	_	_	_	ignore	_
23	(	wf	punc	_	_	ignore	115:116
24	_	mwf	_	_	_	_	_
25	1892	wf	CD	1892	_	ignore	116:120
26	1975	wf	CD	1975	_	ignore	121:125
27	_	mwf	_	_	_	_	_
28	)	wf	punc	_	_	ignore	125:126
29	_	aux	_	_	_	_	_

# text = ancient Greek historian remembered for his history of the Peloponnesian War (460-395 BC)
# id = 11341614-n-1
# type = def
1	ancient	wf	JJ	ancient%1|ancient%3	ancient%5:00:00:past:00	man	0:7
2	Greek	wf	JJ	Greek%1|Greek%3	_	un	8:13
3	historian	wf	NN	historian%1	historian%1:18:00::	auto	14:23
4	remembered	wf	VBN	remember%2	_	un	24:34
5	for	wf	IN	for	_	ignore	35:38
6	his	wf	PRP$	his	_	ignore	39:42
7	history	wf	NN	history%1	history%1:10:00::	man	43:50
8	of	wf	IN	of	_	ignore	51:53
9	the	wf	DT	the	_	ignore	54:57
10	_	glob|a	_	Peloponnesian_War%1	peloponnesian_war%1:04:00::	auto	_
11	Peloponnesian	cf|a	JJ	Peloponnesian%3	_	un	58:71
12	War	cf|a	NNP	War	_	un	72:75
13	_	aux	_	_	_	ignore	_
14	(	wf	punc	_	_	ignore	76:77
15	_	mwf	_	_	_	_	_
16	460	wf	CD	460	_	ignore	77:80
17	395	wf	CD	395	_	ignore	81:84
18	BC	wf	RB	BC%4	_	un	85:87
19	_	mwf	_	_	_	_	_
20	)	wf	punc	_	_	ignore	87:88
21	_	aux	_	_	_	_	_

# text = United States artist who developed Tiffany glass (1848-1933)
# id = 11342301-n-1
# type = def
1	_	glob|b	_	United_States%1	_	un	_
2	United	cf|b	NNP	United	_	un	0:6
3	States	cf|b	NNP	State%1	_	un	7:13
4	artist	wf	NN	artist%1	artist%1:18:00::	auto	14:20
5	who	wf	WP	who	_	ignore	21:24
6	developed	wf	VBN	develop%2|developed%3	_	un	25:34
7	_	glob|a	_	Tiffany_glass%1	tiffany_glass%1:27:00::	auto	_
8	Tiffany	cf|a	NNP	Tiffany%1	_	un	35:42
9	glass	cf|a	NN	glass%1|glass%2	_	un	43:48
10	_	aux	_	_	_	ignore	_
11	(	wf	punc	_	_	ignore	49:50
12	_	mwf	_	_	_	_	_
13	1848	wf	CD	1848	_	ignore	50:54
14	1933	wf	CD	1933	_	ignore	55:59
15	_	mwf	_	_	_	_	_
16	)	wf	punc	_	_	ignore	59:60
17	_	aux	_	_	_	_	_

# text = United States humorist and cartoonist who published collections of essays and stories (1894-1961)
# id = 11341760-n-1
# type = def
1	_	glob|a	_	United_States%1	_	un	_
2	United	cf|a	NNP	United	_	un	0:6
3	States	cf|a	NNP	State%1	_	un	7:13
4	humorist	wf	NN	humorist%1	humorist%1:18:00::	auto	14:22
5	and	wf	CC	and	_	ignore	23:26
6	cartoonist	wf	NN	cartoonist%1	cartoonist%1:18:00::	auto	27:37
7	who	wf	WP	who	_	ignore	38:41
8	published	wf	VBN	publish%2|published%3	publish%2:36:00::	man	42:51
9	collections	wf	NN	collection%1	collection%1:10:00::	man	52:63
10	of	wf	IN	of	_	ignore	64:66
11	essays	wf	NNS	essay%1|essay%2	essay%1:10:00::	man	67:73
12	and	wf	CC	and	_	ignore	74:77
13	stories	wf	NNS	storey%1|story%1	story%1:10:00::	man	78:85
14	_	aux	_	_	_	ignore	_
15	(	wf	punc	_	_	ignore	86:87
16	_	mwf	_	_	_	_	_
17	1894	wf	CD	1894	_	ignore	87:91
18	1961	wf	CD	1961	_	ignore	92:96
19	_	mwf	_	_	_	_	_
20	)	wf	punc	_	_	ignore	96:97
21	_	aux	_	_	_	_	_

# text = Dutch economist noted for his work in econometrics (1903-1994)
# id = 11342905-n-1
# type = def
1	Dutch	wf	JJ	Dutch%1|Dutch%3	dutch%3:01:00::	man	0:5
2	economist	wf	NN	economist%1	economist%1:18:00::	auto	6:15
3	noted	wf	VBN	note%2|noted%3	note%2:32:00::	man	16:21
4	for	wf	IN	for	_	ignore	22:25
5	his	wf	PRP$	his	_	ignore	26:29
6	work	wf	NN	work%1|work%2	_	un	30:34
7	in	wf	IN	in	_	ignore	35:37
8	econometrics	wf	NN	econometrics%1	econometrics%1:09:00::	auto	38:50
9	_	aux	_	_	_	ignore	_
10	(	wf	punc	_	_	ignore	51:52
11	_	mwf	_	_	_	_	_
12	1903	wf	CD	1903	_	ignore	52:56
13	1994	wf	CD	1994	_	ignore	57:61
14	_	mwf	_	_	_	_	_
15	)	wf	punc	_	_	ignore	61:62
16	_	aux	_	_	_	_	_

# text = United States tennis player who dominated men's tennis in the 1920s (1893-1953)
# id = 11342440-n-1
# type = def
1	_	glob|a	_	United_States%1	_	un	_
2	United	cf|a	NNP	United	_	un	0:6
3	States	cf|a	NNP	State%1	_	un	7:13
4	_	glob|b	_	tennis_player%1	tennis_player%1:18:00::	auto	_
5	tennis	cf|b	NN	tennis%1	_	un	14:20
6	player	cf|b	NN	player%1	_	un	21:27
7	who	wf	WP	who	_	ignore	28:31
8	dominated	wf	VBN	dominate%2|dominated%3	_	un	32:41
9	men's	wf	NNS	man%1|men%1|men's%1	man%1:18:00::	man	42:47
10	tennis	wf	NN	tennis%1	tennis%1:04:00::	auto	48:54
11	in	wf	IN	in	_	ignore	55:57
12	the	wf	DT	the	_	ignore	58:61
13	1920s	wf	CD	1920s%1	1920s%1:28:00::	auto	62:67
14	_	aux	_	_	_	ignore	_
15	(	wf	punc	_	_	ignore	68:69
16	_	mwf	_	_	_	_	_
17	1893	wf	CD	1893	_	ignore	69:73
18	1953	wf	CD	1953	_	ignore	74:78
19	_	mwf	_	_	_	_	_
20	)	wf	punc	_	_	ignore	78:79
21	_	aux	_	_	_	_	_

# text = United States theologian (born in Germany) (1886-1965)
# id = 11342618-n-1
# type = def
1	_	glob|a	_	United_States%1	_	un	_
2	United	cf|a	NNP	United	_	un	0:6
3	States	cf|a	NNP	State%1	_	un	7:13
4	theologian	wf	NN	theologian%1	theologian%1:18:00::	auto	14:24
5	(	wf	punc	_	_	ignore	25:26
6	born	wf	VBN	bear%2|born%3	bear%2:29:01::	man	26:30
7	in	wf	IN	in	_	ignore	31:33
8	Germany	wf	NNP	Germany%1	germany%1:15:00::	auto	34:41
9	)	wf	punc	_	_	ignore	41:42
10	_	aux	_	_	_	ignore	_
11	(	wf	punc	_	_	ignore	43:44
12	_	mwf	_	_	_	_	_
13	1886	wf	CD	1886	_	ignore	44:48
14	1965	wf	CD	1965	_	ignore	49:53
15	_	mwf	_	_	_	_	_
16	)	wf	punc	_	_	ignore	53:54
17	_	aux	_	_	_	_	_

# text = a disciple of Saint Paul who became the leader of the Christian community at Ephesus
# id = 11342766-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	disciple	wf	NN	disciple%1	disciple%1:18:00::	auto	2:10
3	of	wf	IN	of	_	ignore	11:13
4	_	glob|a	_	Saint_Paul%1	saint_paul%1:18:00::	man	_
5	Saint	cf|a	NNP	Saint	_	un	14:19
6	Paul	cf|a	NNP	Paul%1	_	un	20:24
7	who	wf	WP	who	_	ignore	25:28
8	became	wf	VBD	become%2	_	un	29:35
9	the	wf	DT	the	_	ignore	36:39
10	leader	wf	NN	leader%1	leader%1:18:00::	man	40:46
11	of	wf	IN	of	_	ignore	47:49
12	the	wf	DT	the	_	ignore	50:53
13	Christian	wf	JJ	Christian%1|Christian%3	_	un	54:63
14	community	wf	NN	community%1	community%1:14:00::	man	64:73
15	at	wf	IN	at	_	ignore	74:76
16	Ephesus	wf	NNP	Ephesus%1	ephesus%1:15:00::	man	77:84

# text = Italian painter of the Venetian school (1518-1594)
# id = 11343208-n-1
# type = def
1	Italian	wf	JJ	Italian%1|Italian%3	_	un	0:7
2	painter	wf	NN	painter%1	painter%1:18:00::	man	8:15
3	of	wf	IN	of	_	ignore	16:18
4	the	wf	DT	the	_	ignore	19:22
5	Venetian	wf	NNP	Venetian%1|Venetian%3	venetian%3:01:00::	man	23:31
6	school	wf	NN	school%1|school%2	school%1:14:02::	man	32:38
7	_	aux	_	_	_	ignore	_
8	(	wf	punc	_	_	ignore	39:40
9	_	mwf	_	_	_	_	_
10	1518	wf	CD	1518	_	ignore	40:44
11	1594	wf	CD	1594	_	ignore	45:49
12	_	mwf	_	_	_	_	_
13	)	wf	punc	_	_	ignore	49:50
14	_	aux	_	_	_	_	_

# text = old master of the Venetian school (1490-1576)
# id = 11343507-n-1
# type = def
1	_	glob|a	_	old_master%1	old_master%1:18:00::	auto	_
2	old	cf|a	JJ	old%1|old%3	_	un	0:3
3	master	cf|a	NN	master%1|master%2|master%3	_	un	4:10
4	of	wf	IN	of	_	ignore	11:13
5	the	wf	DT	the	_	ignore	14:17
6	Venetian	wf	NNP	Venetian%1|Venetian%3	venetian%3:01:00::	man	18:26
7	school	wf	NN	school%1|school%2	school%1:14:02::	man	27:33
8	_	aux	_	_	_	ignore	_
9	(	wf	punc	_	_	ignore	34:35
10	_	mwf	_	_	_	_	_
11	1490	wf	CD	1490	_	ignore	35:39
12	1576	wf	CD	1576	_	ignore	40:44
13	_	mwf	_	_	_	_	_
14	)	wf	punc	_	_	ignore	44:45
15	_	aux	_	_	_	_	_

# text = son-in-law of Augustus who became a suspicious tyrannical Emperor of Rome after a brilliant military career (42 BC to AD 37)
# id = 11341970-n-1
# type = def
1	son-in-law	wf	NN	son-in-law%1	son-in-law%1:18:00::	auto	0:10
2	of	wf	IN	of	_	ignore	11:13
3	Augustus	wf	NNP	Augustus%1	augustus%1:18:00::	auto	14:22
4	who	wf	WP	who	_	ignore	23:26
5	became	wf	VBD	become%2	_	un	27:33
6	a	wf	DT	a	_	ignore	34:35
7	suspicious	wf	JJ	suspicious%3	suspicious%5:00:00:distrustful:00	man	36:46
8	tyrannical	wf	JJ	tyrannical%3	_	un	47:57
9	_	glob|a	_	Emperor_of_Rome%1	emperor_of_rome%1:18:00::	auto	_
10	Emperor	cf|a	NNP	Emperor	_	un	58:65
11	of	cf|a	IN	of	_	ignore	66:68
12	Rome	cf|a	NNP	Rome%1	_	un	69:73
13	after	wf	IN	after%3|after%4	_	un	74:79
14	a	wf	DT	a	_	ignore	80:81
15	brilliant	wf	JJ	brilliant%3	brilliant%5:00:00:superior:02	man	82:91
16	military	wf	JJ	military%1|military%3	military%3:00:02::	man	92:100
17	career	wf	NN	career%1|career%2	career%1:04:01::	man	101:107
18	_	aux	_	_	_	ignore	_
19	(	wf	punc	_	_	ignore	108:109
20	_	mwf	_	_	_	_	_
21	42	wf	CD	42	_	ignore	109:111
22	BC	wf	RB	BC%4	_	un	112:114
23	to	wf	TO	to	_	ignore	115:117
24	AD	wf	RB	AD%4	_	un	118:120
25	37	wf	CD	37	_	ignore	121:123
26	_	mwf	_	_	_	_	_
27	)	wf	punc	_	_	ignore	123:124
28	_	aux	_	_	_	_	_

# text = Dutch zoologist who showed that much animal behavior is innate and stereotyped (1907-1988)
# id = 11343040-n-1
# type = def
1	Dutch	wf	JJ	Dutch%1|Dutch%3	dutch%3:01:00::	man	0:5
2	zoologist	wf	NN	zoologist%1	zoologist%1:18:00::	auto	6:15
3	who	wf	WP	who	_	ignore	16:19
4	showed	wf	VBD	shew%2|show%2	show%2:31:00::	man	20:26
5	_	glob|a	_	that_much%4	that_much%4:02:00::	auto	_
6	that	cf|a	IN	that	_	ignore	27:31
7	much	cf|a	DT	much%1|much%3|much%4	_	un	32:36
8	animal	wf	JJ	animal%1|animal%3	animal%1:03:00::	man	37:43
9	behavior	wf	NN	behavior%1	behavior%1:04:01::	man	44:52
10	is	wf	VBZ	i%1|be%2	_	un	53:55
11	innate	wf	JJ	innate%3	innate%3:00:02::|innate%5:00:00:noninheritable:00|innate%5:00:00:intelligent:00	man	56:62
12	and	wf	CC	and	_	ignore	63:66
13	stereotyped	wf	JJ	stereotype%2|stereotyped%3	stereotyped%5:00:00:conventional:01	man	67:78
14	_	aux	_	_	_	ignore	_
15	(	wf	punc	_	_	ignore	79:80
16	_	mwf	_	_	_	_	_
17	1907	wf	CD	1907	_	ignore	80:84
18	1988	wf	CD	1988	_	ignore	85:89
19	_	mwf	_	_	_	_	_
20	)	wf	punc	_	_	ignore	89:90
21	_	aux	_	_	_	_	_

# text = United States writer and social critic (1817-1862)
# id = 11340992-n-1
# type = def
1	_	glob|a	_	United_States%1	_	un	_
2	United	cf|a	NNP	United	_	un	0:6
3	States	cf|a	NNP	State%1	_	un	7:13
4	writer	wf	NN	writer%1	writer%1:18:00::	man	14:20
5	and	wf	CC	and	_	ignore	21:24
6	social	wf	JJ	social%1|social%3	social%3:01:00::	man	25:31
7	critic	wf	NN	critic%1	critic%1:18:02::	man	32:38
8	_	aux	_	_	_	ignore	_
9	(	wf	punc	_	_	ignore	39:40
10	_	mwf	_	_	_	_	_
11	1817	wf	CD	1817	_	ignore	40:44
12	1862	wf	CD	1862	_	ignore	45:49
13	_	mwf	_	_	_	_	_
14	)	wf	punc	_	_	ignore	49:50
15	_	aux	_	_	_	_	_

# text = a Greek disciple and helper of Saint Paul
# id = 11343998-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	Greek	wf	JJ	Greek%1|Greek%3	_	un	2:7
3	disciple	wf	NN	disciple%1	disciple%1:18:00::	auto	8:16
4	and	wf	CC	and	_	ignore	17:20
5	helper	wf	NN	helper%1	helper%1:18:01::	man	21:27
6	of	wf	IN	of	_	ignore	28:30
7	_	glob|a	_	Saint_Paul%1	saint_paul%1:18:00::	man	_
8	Saint	cf|a	NNP	Saint	_	un	31:36
9	Paul	cf|a	NNP	Paul%1	_	un	37:41

# text = Emperor of Rome; son of Vespasian (39-81)
# id = 11343847-n-1
# type = def
1	_	glob|a	_	Emperor_of_Rome%1	emperor_of_rome%1:18:00::	auto	_
2	Emperor	cf|a	NNP	Emperor	_	un	0:7
3	of	cf|a	IN	of	_	ignore	8:10
4	Rome	cf|a	NNP	Rome%1	_	un	11:15
5	;	wf	punc	_	_	ignore	15:16
6	son	wf	NN	son%1	son%1:18:00::	auto	17:20
7	of	wf	IN	of	_	ignore	21:23
8	Vespasian	wf	NNP	Vespasian%1	vespasian%1:18:00::	auto	24:33
9	_	aux	_	_	_	ignore	_
10	(	wf	punc	_	_	ignore	34:35
11	_	mwf	_	_	_	_	_
12	39	wf	CD	39	_	ignore	35:37
13	81	wf	CD	81	_	ignore	38:40
14	_	mwf	_	_	_	_	_
15	)	wf	punc	_	_	ignore	40:41
16	_	aux	_	_	_	_	_

# text = United States economist (1918-2002)
# id = 11344235-n-1
# type = def
1	_	glob|a	_	United_States%1	_	un	_
2	United	cf|a	NNP	United	_	un	0:6
3	States	cf|a	NNP	State%1	_	un	7:13
4	economist	wf	NN	economist%1	economist%1:18:00::	auto	14:23
5	_	aux	_	_	_	ignore	_
6	(	wf	punc	_	_	ignore	24:25
7	_	mwf	_	_	_	_	_
8	1918	wf	CD	1918	_	ignore	25:29
9	2002	wf	CD	2002	_	ignore	30:34
10	_	mwf	_	_	_	_	_
11	)	wf	punc	_	_	ignore	34:35
12	_	aux	_	_	_	_	_

# text = United States abstract painter influenced by oriental calligraphy (1890-1976)
# id = 11344092-n-1
# type = def
1	_	glob|a	_	United_States%1	_	un	_
2	United	cf|a	NNP	United	_	un	0:6
3	States	cf|a	NNP	State%1	_	un	7:13
